ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Scraped Tweet ID
08-1,30/03/23 16:16:16,https://twitter.com/freenbeckyfanph/status/1608967436166107136,08,"Judal, Denver",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@freenbeckyfanph,🤍🐰🦦,"🤍🐰🦦 
#srchafreen 
#beckysangels 
#ฟรีนเบค",Anonymous,06/14,656,1935,Philippines,FACT NA FACT ang mga post ng hinayupak na to...Ang dami nya napapaniwala at nauuto oh!😂🤣 Sa FACT CHECKER RAPPLER sya kumukuha ng ipopost mga FAKE NEWS lahat  FACT NA FACT!!! kahit check nyo lahat ng post nya may RAPPLER opps 😁🤭,,"Text, Quote Tweet",30/12/22 23:25,,Rational,4,0,0,0,131,,HINDI TOTOO: Proyekto ni Bongbong Marcos ang Bangui Wind Farm sa Ilocos Norte,"The original tweet claims that the Bangui Wind Farm is not a project by Ferdinand Marcos Jr., but rather by the NorthWind Power Dev't.",1
08-2,30/03/23 16:54:31,https://twitter.com/YvonnieSeguis/status/1603227413105627136,08,"Judal, Denver",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@YvonnieSeguis,Yvonnie Seguis,blessed,Identified,04/22,36,3,Philippines,@jcpunongbayan Another fake news from you and rappler Kaya Hindi Kayo mapagkatiwalaan...,,"Text, Reply",15/12/22 03:16,,Rational,0,0,0,0,,,"OP assumes that Rappler is not a reliable news source.

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project",This is a reply to Rappler's news article regarding a wealth yarn scam in Davao.,4
08-3,30/03/23 16:54:38,https://twitter.com/sanmig1970/status/1600953438200025088,08,"Judal, Denver",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@sanmig1970,Crypto Samurai (under tutelage),"Trading Sieto, Bijutsu aikō-ka
18 months and counting. 7.15.22
Studying & Training to be a Master Chartist.  
So much to learn and a lifetime to master.",Anonymous,08/13,312,86,"Himeji, Japan","@theadtan ... and Time Magazine also glorified in 2018 the girl of fake news and lies named Ressa?  I do not why they did not consider her lies in her BBC interviews and actual statistics. Rappler was also connected with Omidyar, who is known for regime change tactics, right?",,"Text, Reply",12/08/22 20:40,,Rational,3,0,0,0,,,"OP assumes that Rappler is not a reliable news source. Although Rappler is indeed connected to the Omidyar Network as an investor, which has a reputation of a regime-change tactician

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

Omidyar Network invests in Rappler

How tech oligarch Pierre Omidyar funds regime-change networks and partners with CIA cutouts",,7
08-4,30/03/23 17:03:43,https://twitter.com/grefilb777/status/1597668456727728128,08,"Judal, Denver",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@grefilb777,Greg Benedicto,,Identified,08/22,1,2,Philippines,@IdolRaffyTulfo Daoat Ang batas oantay pantay sa lahat Ang sinsabj ko na traditional media na ksma Ang rappler vera file Yan Ang gusto mo protktahan paoano Yung mga pinapakalat nila na paninirang puro sa  laban sa partido nila na pulitko ouro fake news papano yun Mr tulfo,,"Text, Reply",29/11/22 19:06,,Emotional,0,0,0,0,,,"OP assumes that Rappler is not a reliable news source since they post ""anti""-government content.

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project","This reply came from Senator Raffy Tulfo's reaction to the ban of selling pink salmon and pampano in public markets.

No bio.",11
08-5,30/03/23 17:19:14,https://twitter.com/Kurlytops22/status/1589377922657583104,08,"Judal, Denver",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@Kurlytops22,Kurlytops,,Anonymous,11/22,26,7,Philippines,"@jcpunongbayan after nung fake news sa location ng president na ibinase lang sa electrical socket..phd pa naman, now, pabida naman ..wala na talaga maisip mga kakampwets😂ayy writer pala ng rappler to..any piece sa kaso ni ressa.. yung hindi fake news ha😂",,"Text, Reply",11/06/22 22:03,,Emotional,0,0,0,0,,,"OP assumes that Rappler is not a reliable news source.

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project",No bio.,15
08-6,30/03/23 17:23:59,https://twitter.com/Roland58452974/status/1586096269788733441,08,"Judal, Denver",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@Roland58452974,Roland,Crusader for Change,Anonymous,02/21,10,1,Philippines,@rapplerdotcom The Philippines is governed with laws and not of Men.  Rappler are Liars and Purveyor of FAKE News.,,"Text, Reply",28/10/22 20:43,,Emotional,0,0,0,0,,,"OP assumes that Rappler is not a reliable news source.

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project",,18
08-7,30/03/23 17:34:14,https://twitter.com/Geedalee/status/1582877274697007104,08,"Judal, Denver",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@Geedalee,TSEEE!,"I can Write therefore I can Read 
😂😂Writer yarn?",Anonymous,07/20,3786,15098,,"Pansin ko lang yung aso ng Rappler na Lian Buan ba yun or Buang? Araw araw nlng may hinanakit dati tungkol sa hindi sya pinaopen ng account ng isang bank, ngayon naman Visa naman iniiyak nya 😅 denied ba? Hilig mo daw kasi sa fake news kaya bawal ka doon sa kung saan man yan teh",,Text,19/10/22 23:32,,Emotional,38,0,2,0,,,"OP assumes that Rappler is not a reliable news source.

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project",No location.,22
08-8,30/03/23 17:35:12,https://twitter.com/Iam_Raffy06/status/1582373203770773510,08,"Judal, Denver",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@Iam_Raffy06,Raffyahhh,"singer on spaces, and posting politics on the side. 😊",Anonymous,06/11,518,426,Central Visayas,@carlabrews @ReggieMilitante Therefore i conclude fake news peddler sila not even consulting us if its real or not. Wala silang pagkakaiba sa Rappler! 😅🤪🤪🤪 mga Mariposa! 😅🤪🤪,,"Text, Reply",18/10/22 14:09,,Emotional,9,1,1,0,,,"OP assumes that Rappler is not a reliable news source.

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project",,23
08-9,02/04/23 20:49:19,https://twitter.com/husengsisiw23/status/1581412927617216512,08,"Judal, Denver",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@husengsisiw23,HusengSisiwJR🇵🇭🇳🇿,I am against Fake News. I am for Press Freedom but I know there is no such thing as absolute freedom. Your freedom ends when others's freedom begins.🤘🤔😜🫣✌️,Anonymous,01/11,233,112,New Zealand,@rapplerdotcom @reetuquero Fake News na naman ang Rappler. Bakit kaya alam nila ang nangayayari sa mga Marcos vs experience ng mga Marcos mismo? 🫣🫣🫣. Nanghuhula na naman kayo noh?,,"Text, Reply",15/10/22 22:33,,Emotional,0,1,0,0,,,"OP assumes that Rappler is not a reliable news source.

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project",,24
08-10,02/04/23 20:49:21,https://twitter.com/czar_buenafe/status/1580899141517201410,08,"Judal, Denver",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@czar_buenafe,zedekiel czr,,Anonymous,01/16,75,153,"Vancouver, British Columbia",@rapplerdotcom @jairojourno Hahaha ayaw nya sa inyo kasi queen of fake news ang RAPPLER.🤣🤣,,"Text, Reply",14/10/22 12:31,,,0,1,0,0,,,"OP assumes that Rappler is not a reliable news source.

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project","This is a reply to a tweet by Rappler when Boying Remulla does not answer to their requests for an interview.

No bio.",25
08-11,31/03/2023 13:19:00,https://twitter.com/Marvin_Bronoso/status/1565451850815782912,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@Marvin_Bronoso,Marvin Bronoso,"Creative Graphic Artist, Video Editor, Animator and Digital Marketer.",Identified,04/14,83,16,Olongapo,"@smninews @troy_gomez19 ABS-CBN is a waste, tama lang na nasa social media sila, hindi sila magandang influence sa bansa sana isabay na rin dyan si RAPPLER, number 1 source of fake news.",,"Text, Reply",09/01/22 21:29,,Rational,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]",,61
08-12,31/03/2023 13:34:00,https://twitter.com/vibrantvien8/status/1564300397765750784,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@vibrantvien8,Orvien S. Cahipe,,Identified,01/01,75,4,,@rapplerdotcom OUR COUNTRY SHOULD BE FREE FROM FAKE NEWS PEDDLERS LIKE RAPPLER AND CORRUPT MEDIA ENTITIES!,,"Text, Reply",29/08/22 17:14,,Emotional,1,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]","No bio, no location",62
08-13,31/03/2023 13:31:00,https://twitter.com/malibago_p/status/1558947672358539264,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@malibago_p,dei verbum,,Anonymous,09/15,188,72,"Mountain Brook, AL","How can this Rappler be credible where it is declared by SEC as illegal website due to numerous constitutional violations, it's CEO ressa is a convicted criminal, henceforth its writers, website uploaded and write ups are all fake news meant to black propaganda.",,"Text, Reply (Quote Tweet)",14/08/22 22:44,,Rational,1,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]","Not sure if malibago is their last name, so anonymous was chosen; no bio",69
08-14,31/03/2023 13:39:00,https://twitter.com/ZenCrunchNet/status/1558269583379021825,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@ZenCrunchNet,𝓢𝓱𝓲𝓮_ⓉⓄⒿ,"Real talk lang! Ang tamaan adik. 😅
 #TitasOfJulieverse",Anonymous,02/15,328,463,Manila,"@jpvaldez_2020 Sus, anong credibility nila to fact check an event na wala sila dun?! Rappler has been peddling fake news and fact checking people's opinions and experiences as if they know all the truths. Ano sila Diyos!? Mga uto uto lang naniniwala dyan gaya mo!",,"Text, Reply",13/08/22 01:49,,Emotional,0,1,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]","Name not clear, but photo of a person available; tagging as anonymous to err on the side of caution",70
08-15,31/03/2023 14:04:00,https://twitter.com/Michael550265/status/1555719090878103553,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@Michael550265,Michael,This is the way,Anonymous,05/21,101,253,,"#KatipsTheMovie

Rappler's FAKE NEWS reporters making up stories.  Caught lying but continues with their FAKE NEWS https://t.co/cLV95u3pvY",,"Text, Image",08/06/22 00:55,,Rational,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

Drawing from firsthand sources including Arturo Aruiza's (Marcos' military aide for 21 years) book ""Ferdinand E. Marcos: Malacañang to Makiki"", the movie did in fact commit multiple historical inaccuracies regarding the waning days of the Marcos regime.

A made-up Marcos movie: False, misleading claims abound in ‘Maid in Malacañang’

[https://www.rappler.com/life-and-style/false-misleading-claims-maid-in-malacanang/]",No location,72
08-16,31/03/2023 14:05:00,https://twitter.com/reinantesanchez/status/1552777213182763008,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@reinantesanchez,reinante,,Identified,06/12,10,6,muntinlupa city,@rapplerdotcom fake news… rappler lng meron nyan.. 😀😀😀,,"Text, Reply",28/07/22 22:05,,Rational,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]",No bio,75
08-17,31/03/2023 14:19:00,https://twitter.com/OCahipe/status/1548916336553705473,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@OCahipe,Orvien Cahipe,,Identified,01/17,291,8,,@untmftw0097 FYI! RAPPLER IS AN ABUSIVE MEDIA HERE IN THE PHILIPPINES FUNDED BY CORRUPT US CITIZENS TO SPREAD FAKE NEWS AND DESTABILIZE THE COUNTRY I GUESS THAT IS A MORE PRESSING CONCERN THAN FALSE CLAIMS OF PRESS FREEDOM ABUSE! THE PRESS HERE IN THE PHILIPPINES ARE FREE TO SPREAD FAKE NEWS!,,"Text, Reply",18/07/22 06:23,,Emotional,0,1,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]","No bio, no location",81
08-18,31/03/2023 18:37:00,https://twitter.com/Aeron1231/status/1548452574415982592,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@Aeron1231,Aeron123,,Anonymous,06/18,337,239,,"@kahector4 @rocker_fraggle @mariaressa Patron saint of Libelous and Fallacious News..

Since Ressa is known for spreading fake news, and she owns (the least trusted) news site called (C)Rappler.. can we say that she owns a paid troll farm? 🤔🤔🤔",,"Text, Reply",16/07/22 23:40,,Emotional,0,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]","No bio, no location",82
08-19,31/03/2023 18:39:00,https://twitter.com/obeng2914/status/1546901613654188033,08,"Nakano, Ryosuke",MDIA,"Rappler, Maria Ressa peddle fake news/disinformation",rappler fake news until:2022-12-31,@obeng2914,Obeng,,Anonymous,12/13,26,7,,@mariaressa Rappler and you are the fake news peddlers. Kaya ka naconvict. Salot kayo ng lipunan.,,"Text, Reply",07/12/22 16:57,,Emotional,2,0,0,0,,,"OP assumes that Rappler spreads propaganda and disinformation

In 2016, Rappler became one of the first few Philippine news groups to join First Draft, a collective of organizations fighting disinformation. In addition, the media company became a verified signatory to the International Fact-Checkers Network's (IFCN) code of ethics for fact-checkers. 

FAQ: All you need to know about Rappler IQ, Rappler’s Fact Check Project

[https://www.rappler.com/about/214420-frequently-asked-questions-fact-check-project/]","No bio, no location",87
